id,status_name,date_column,filled
470,Under Review,mdcd_demo_aplctn_stus_dt,1
470,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
470,Under Review,phase_2_cmpltns_rvw_dt,1
470,Under Review,phase_2_rcvd_dt,1
474,Under Review,mdcd_demo_aplctn_stus_dt,1
474,Under Review,phase_2_fed_cmt_prd_strt_dt,1
474,Under Review,phase_2_fed_cmt_prd_end_dt,1
474,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
474,Under Review,phase_2_cmpltns_rvw_dt,1
474,Under Review,phase_2_rcvd_dt,1
484,On Hold - Workplan Queue,mdcd_demo_aplctn_stus_dt,1
484,On Hold - Workplan Queue,phase_2_fed_cmt_prd_strt_dt,1
484,On Hold - Workplan Queue,phase_2_fed_cmt_prd_end_dt,1
484,On Hold - Workplan Queue,phase_2_state_aplctn_deemd_cmpltn_dt,1
484,On Hold - Workplan Queue,phase_2_cmpltns_rvw_dt,1
484,On Hold - Workplan Queue,phase_2_rcvd_dt,1
485,Under Review,mdcd_demo_aplctn_stus_dt,1
485,Under Review,phase_2_fed_cmt_prd_strt_dt,1
485,Under Review,phase_2_fed_cmt_prd_end_dt,1
485,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
485,Under Review,phase_2_cmpltns_rvw_dt,1
485,Under Review,phase_2_rcvd_dt,1
489,Under Review,mdcd_demo_aplctn_stus_dt,1
489,Under Review,phase_2_dsrd_aprvl_dt,1
489,Under Review,phase_2_state_aplctn_deemd_cmpltn_dt,1
489,Under Review,phase_2_cmpltns_rvw_dt,1
489,Under Review,phase_2_rcvd_dt,1
