id,date_column,filled
22,phase_3_a_sme_strt_dt,1
22,phase_2_cmpltns_rvw_dt,1
22,phase_2_rcvd_dt,1
22,phase_1_strt_dt,1
22,phase_1_end_dt,1
23,mdcd_demo_aplctn_stus_dt,1
23,phase_2_cmpltns_rvw_dt,1
23,phase_2_dsrd_aprvl_dt,1
23,phase_2_rcvd_dt,1
24,mdcd_demo_aplctn_stus_dt,1
24,phase_2_cmpltns_rvw_dt,1
24,phase_2_rcvd_dt,1
25,mdcd_demo_aplctn_stus_dt,1
25,phase_2_dsrd_aprvl_dt,1
26,mdcd_demo_aplctn_stus_dt,1
26,phase_2_dsrd_aprvl_dt,1
27,mdcd_demo_aplctn_stus_dt,1
27,phase_3_b_ogc_strt_dt,1
27,phase_3_b_omb_strt_dt,1
27,phase_2_state_aplctn_deemd_cmpltn_dt,1
27,phase_2_cmpltns_rvw_dt,1
27,phase_4_strt_dt,1
27,phase_2_rcvd_dt,1
28,mdcd_demo_aplctn_stus_dt,1
29,mdcd_demo_aplctn_stus_dt,1
29,phase_3_c_omb_end_dt,1
29,phase_3_c_ogc_end_dt,1
29,phase_3_b_omb_strt_dt,1
29,phase_3_b_omb_end_dt,1
29,phase_3_b_ogc_end_dt,1
29,phase_3_b_ogc_strt_dt,1
29,phase_2_state_aplctn_deemd_cmpltn_dt,1
29,phase_2_cmpltns_rvw_dt,1
29,phase_4_strt_dt,1
29,phase_2_dsrd_aprvl_dt,1
29,phase_2_rcvd_dt,1
30,mdcd_demo_aplctn_stus_dt,1
30,phase_2_state_aplctn_deemd_cmpltn_dt,1
30,phase_2_fed_cmt_prd_strt_dt,1
30,phase_2_cmpltns_rvw_dt,1
30,phase_2_fed_cmt_prd_end_dt,1
30,phase_2_dsrd_aprvl_dt,1
30,phase_2_rcvd_dt,1
31,mdcd_demo_aplctn_stus_dt,1
31,phase_2_dsrd_aprvl_dt,1
32,mdcd_demo_aplctn_stus_dt,1
32,phase_3_b_cmcs_strt_dt,1
32,phase_3_a_sme_strt_dt,1
32,phase_3_b_ogc_strt_dt,1
32,phase_3_a_sme_end_dt,1
32,phase_2_state_aplctn_deemd_cmpltn_dt,1
32,phase_2_fed_cmt_prd_strt_dt,1
32,phase_2_cmpltns_rvw_dt,1
32,phase_2_fed_cmt_prd_end_dt,1
32,phase_2_dsrd_aprvl_dt,1
32,phase_2_rcvd_dt,1
32,phase_1_strt_dt,1
32,phase_1_end_dt,1
33,mdcd_demo_aplctn_stus_dt,1
33,phase_2_state_aplctn_deemd_cmpltn_dt,1
33,phase_3_a_sme_end_dt,1
33,phase_3_a_sme_strt_dt,1
33,phase_2_fed_cmt_prd_strt_dt,1
33,phase_2_cmpltns_rvw_dt,1
33,phase_2_fed_cmt_prd_end_dt,1
33,phase_2_dsrd_aprvl_dt,1
33,phase_2_rcvd_dt,1
34,mdcd_demo_aplctn_stus_dt,1
34,phase_3_c_omb_end_dt,1
34,phase_3_b_omb_end_dt,1
34,phase_3_c_ogc_end_dt,1
34,phase_3_b_ogc_end_dt,1
34,phase_2_fed_cmt_prd_strt_dt,1
34,phase_3_a_sme_end_dt,1
34,phase_2_state_aplctn_deemd_cmpltn_dt,1
34,phase_3_b_omb_strt_dt,1
34,phase_3_b_ogc_strt_dt,1
34,phase_3_b_cmcs_end_dt,1
34,phase_3_a_sme_strt_dt,1
34,phase_6_strt_dt,1
34,phase_2_cmpltns_rvw_dt,1
34,phase_2_dsrd_aprvl_dt,1
34,phase_2_fed_cmt_prd_end_dt,1
34,phase_2_rcvd_dt,1
34,phase_1_strt_dt,1
34,phase_1_end_dt,1
35,mdcd_demo_aplctn_stus_dt,1
35,phase_3_b_ogc_strt_dt,1
35,phase_2_fed_cmt_prd_strt_dt,1
35,phase_3_b_omb_strt_dt,1
35,phase_3_b_cmcs_strt_dt,1
35,phase_3_a_sme_end_dt,1
35,phase_3_a_sme_strt_dt,1
35,phase_3_b_cmcs_end_dt,1
35,phase_2_state_aplctn_deemd_cmpltn_dt,1
35,phase_3_c_omb_strt_dt,1
35,phase_3_c_ogc_strt_dt,1
35,phase_2_cmpltns_rvw_dt,1
35,phase_2_fed_cmt_prd_end_dt,1
35,phase_4_strt_dt,1
35,phase_2_rcvd_dt,1
35,phase_1_strt_dt,1
35,phase_1_end_dt,1
36,mdcd_demo_aplctn_stus_dt,1
36,phase_3_b_ogc_strt_dt,1
36,phase_2_fed_cmt_prd_strt_dt,1
36,phase_4_end_dt,1
36,phase_3_b_omb_strt_dt,1
36,phase_3_a_sme_end_dt,1
36,phase_3_c_omb_end_dt,1
36,phase_3_c_ogc_end_dt,1
36,phase_2_state_aplctn_deemd_cmpltn_dt,1
36,phase_3_c_ogc_strt_dt,1
36,phase_3_a_sme_strt_dt,1
36,phase_3_c_omb_strt_dt,1
36,phase_2_cmpltns_rvw_dt,1
36,phase_2_fed_cmt_prd_end_dt,1
36,phase_4_strt_dt,1
36,phase_2_rcvd_dt,1
36,phase_1_strt_dt,1
36,phase_1_end_dt,1
37,mdcd_demo_aplctn_stus_dt,1
37,phase_3_c_ogc_strt_dt,1
37,phase_3_c_omb_strt_dt,1
37,phase_3_a_sme_strt_dt,1
37,phase_3_c_ogc_end_dt,1
37,phase_2_state_aplctn_deemd_cmpltn_dt,1
37,phase_3_a_sme_end_dt,1
37,phase_3_c_omb_end_dt,1
37,phase_2_fed_cmt_prd_strt_dt,1
37,phase_2_cmpltns_rvw_dt,1
37,phase_2_dsrd_aprvl_dt,1
37,phase_2_fed_cmt_prd_end_dt,1
37,phase_2_rcvd_dt,1
37,phase_1_strt_dt,1
37,phase_1_end_dt,1
38,mdcd_demo_aplctn_stus_dt,1
38,phase_3_c_ogc_strt_dt,1
38,phase_2_state_aplctn_deemd_cmpltn_dt,1
38,phase_3_c_omb_strt_dt,1
38,phase_2_cmpltns_rvw_dt,1
38,phase_2_dsrd_aprvl_dt,1
38,phase_2_rcvd_dt,1
39,mdcd_demo_aplctn_stus_dt,1
39,phase_1_strt_dt,1
40,mdcd_demo_aplctn_stus_dt,1
40,phase_2_fed_cmt_prd_strt_dt,1
40,phase_3_a_sme_strt_dt,1
40,phase_2_state_aplctn_deemd_cmpltn_dt,1
40,phase_3_a_sme_end_dt,1
40,phase_2_cmpltns_rvw_dt,1
40,phase_2_fed_cmt_prd_end_dt,1
40,phase_2_rcvd_dt,1
41,mdcd_demo_aplctn_stus_dt,1
41,phase_2_rcvd_dt,1
42,mdcd_demo_aplctn_stus_dt,1
42,phase_2_state_aplctn_deemd_cmpltn_dt,1
42,phase_3_b_cmcs_end_dt,1
42,phase_3_b_cmcs_strt_dt,1
42,phase_4_strt_dt,1
42,phase_2_dsrd_aprvl_dt,1
42,phase_2_rcvd_dt,1
42,phase_1_strt_dt,1
43,mdcd_demo_aplctn_stus_dt,1
43,phase_2_state_aplctn_deemd_cmpltn_dt,1
43,phase_3_a_sme_strt_dt,1
43,phase_3_a_sme_end_dt,1
43,phase_2_fed_cmt_prd_strt_dt,1
43,phase_2_cmpltns_rvw_dt,1
43,phase_2_fed_cmt_prd_end_dt,1
43,phase_2_dsrd_aprvl_dt,1
43,phase_2_rcvd_dt,1
43,phase_1_end_dt,1
43,phase_1_strt_dt,1
44,mdcd_demo_aplctn_stus_dt,1
44,phase_2_state_aplctn_deemd_cmpltn_dt,1
44,phase_3_a_sme_strt_dt,1
44,phase_3_a_sme_end_dt,1
44,phase_5_strt_dt,1
44,phase_2_fed_cmt_prd_strt_dt,1
44,phase_2_cmpltns_rvw_dt,1
44,phase_2_dsrd_aprvl_dt,1
44,phase_4_strt_dt,1
44,phase_2_fed_cmt_prd_end_dt,1
44,phase_2_rcvd_dt,1
45,mdcd_demo_aplctn_stus_dt,1
45,phase_3_b_cmcs_strt_dt,1
45,phase_3_a_sme_strt_dt,1
45,phase_2_state_aplctn_deemd_cmpltn_dt,1
45,phase_5_strt_dt,1
45,phase_2_fed_cmt_prd_strt_dt,1
45,phase_2_cmpltns_rvw_dt,1
45,phase_2_fed_cmt_prd_end_dt,1
45,phase_2_dsrd_aprvl_dt,1
45,phase_4_strt_dt,1
45,phase_2_rcvd_dt,1
46,mdcd_demo_aplctn_stus_dt,1
46,phase_2_fed_cmt_prd_strt_dt,1
46,phase_2_state_aplctn_deemd_cmpltn_dt,1
46,phase_2_cmpltns_rvw_dt,1
46,phase_2_fed_cmt_prd_end_dt,1
46,phase_2_rcvd_dt,1
46,phase_1_strt_dt,1
47,mdcd_demo_aplctn_stus_dt,1
47,phase_2_state_aplctn_deemd_cmpltn_dt,1
47,phase_3_b_cmcs_strt_dt,1
47,phase_3_a_sme_strt_dt,1
47,phase_2_fed_cmt_prd_strt_dt,1
47,phase_3_a_sme_end_dt,1
47,phase_2_cmpltns_rvw_dt,1
47,phase_2_fed_cmt_prd_end_dt,1
47,phase_2_rcvd_dt,1
47,phase_1_end_dt,1
47,phase_1_strt_dt,1
48,mdcd_demo_aplctn_stus_dt,1
48,phase_3_c_ogc_strt_dt,1
48,phase_2_state_aplctn_deemd_cmpltn_dt,1
48,phase_3_a_sme_strt_dt,1
48,phase_3_b_cmcs_strt_dt,1
48,phase_3_a_sme_end_dt,1
48,phase_3_c_omb_strt_dt,1
48,phase_2_fed_cmt_prd_strt_dt,1
48,phase_2_cmpltns_rvw_dt,1
48,phase_4_strt_dt,1
48,phase_2_fed_cmt_prd_end_dt,1
48,phase_2_dsrd_aprvl_dt,1
48,phase_2_rcvd_dt,1
49,mdcd_demo_aplctn_stus_dt,1
49,phase_3_a_sme_strt_dt,1
49,phase_3_b_cmcs_strt_dt,1
49,phase_3_a_sme_end_dt,1
49,phase_5_strt_dt,1
49,phase_2_state_aplctn_deemd_cmpltn_dt,1
49,phase_2_fed_cmt_prd_strt_dt,1
49,phase_2_cmpltns_rvw_dt,1
49,phase_2_fed_cmt_prd_end_dt,1
49,phase_2_rcvd_dt,1
50,mdcd_demo_aplctn_stus_dt,1
51,mdcd_demo_aplctn_stus_dt,1
52,mdcd_demo_aplctn_stus_dt,1
52,phase_2_state_aplctn_deemd_cmpltn_dt,1
52,phase_2_rcvd_dt,1
52,phase_1_strt_dt,1
53,mdcd_demo_aplctn_stus_dt,1
53,phase_2_state_aplctn_deemd_cmpltn_dt,1
53,phase_2_cmpltns_rvw_dt,1
53,phase_2_rcvd_dt,1
54,mdcd_demo_aplctn_stus_dt,1
54,phase_2_fed_cmt_prd_strt_dt,1
54,phase_3_b_cmcs_strt_dt,1
54,phase_3_b_ogc_strt_dt,1
54,phase_2_state_aplctn_deemd_cmpltn_dt,1
54,phase_3_c_ogc_strt_dt,1
54,phase_3_b_omb_strt_dt,1
54,phase_3_a_sme_end_dt,1
54,phase_3_c_omb_strt_dt,1
54,phase_3_a_sme_strt_dt,1
54,phase_2_cmpltns_rvw_dt,1
54,phase_2_fed_cmt_prd_end_dt,1
54,phase_2_rcvd_dt,1
55,mdcd_demo_aplctn_stus_dt,1
55,phase_2_state_aplctn_deemd_cmpltn_dt,1
55,phase_2_fed_cmt_prd_strt_dt,1
55,phase_3_a_sme_end_dt,1
55,phase_3_b_cmcs_strt_dt,1
55,phase_3_a_sme_strt_dt,1
55,phase_2_cmpltns_rvw_dt,1
55,phase_2_fed_cmt_prd_end_dt,1
55,phase_2_rcvd_dt,1
56,mdcd_demo_aplctn_stus_dt,1
56,phase_3_a_sme_end_dt,1
56,phase_2_state_aplctn_deemd_cmpltn_dt,1
56,phase_3_a_sme_strt_dt,1
56,phase_3_b_cmcs_strt_dt,1
56,phase_2_fed_cmt_prd_strt_dt,1
56,phase_2_cmpltns_rvw_dt,1
56,phase_2_fed_cmt_prd_end_dt,1
56,phase_2_rcvd_dt,1
56,phase_1_end_dt,1
56,phase_1_strt_dt,1
57,mdcd_demo_aplctn_stus_dt,1
57,phase_2_fed_cmt_prd_strt_dt,1
57,phase_2_state_aplctn_deemd_cmpltn_dt,1
57,phase_3_a_sme_end_dt,1
57,phase_3_a_sme_strt_dt,1
57,phase_3_b_cmcs_strt_dt,1
57,phase_2_cmpltns_rvw_dt,1
57,phase_2_fed_cmt_prd_end_dt,1
57,phase_2_dsrd_aprvl_dt,1
57,phase_2_rcvd_dt,1
57,phase_1_end_dt,1
57,phase_1_strt_dt,1
58,mdcd_demo_aplctn_stus_dt,1
58,phase_3_c_omb_strt_dt,1
58,phase_3_b_omb_strt_dt,1
58,phase_2_rcvd_dt,1
58,phase_1_end_dt,1
58,phase_1_strt_dt,1
59,mdcd_demo_aplctn_stus_dt,1
59,phase_2_state_aplctn_deemd_cmpltn_dt,1
59,phase_2_cmpltns_rvw_dt,1
59,phase_2_rcvd_dt,1
60,mdcd_demo_aplctn_stus_dt,1
60,phase_3_b_cmcs_end_dt,1
60,phase_3_a_sme_strt_dt,1
60,phase_3_a_sme_end_dt,1
60,phase_2_state_aplctn_deemd_cmpltn_dt,1
60,phase_3_b_cmcs_strt_dt,1
