from_table_qual,from_column,to_table,to_column,confidence,notes,source,prisma_status
mysql_raw.mdcd_pendg_prtl_expnsn_pgm_dtl,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prtl_expnsn_pgm_dtl,mdcd_prtl_expnsn_pgm_dtl_id,mdcd_prtl_expnsn_pgm_dtl,mdcd_prtl_expnsn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prtl_expnsn_pgm_dtl_hstry,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_prtl_expnsn_pgm_dtl_hstry,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prtl_expnsn_pgm_dtl_hstry,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prtl_expnsn_pgm_dtl_hstry,mdcd_pendg_prtl_expnsn_pgm_dtl_id,mdcd_pendg_prtl_expnsn_pgm_dtl,mdcd_pendg_prtl_expnsn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prtl_expnsn_pgm_dtl_hstry,mdcd_prtl_expnsn_pgm_dtl_id,mdcd_prtl_expnsn_pgm_dtl,mdcd_prtl_expnsn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_cap_pgm_dtl,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_cap_pgm_dtl,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_cap_pgm_dtl,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_cap_pgm_dtl,mdcd_prvdr_cap_pgm_dtl_id,mdcd_prvdr_cap_pgm_dtl,mdcd_prvdr_cap_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_cap_pgm_dtl_hstry,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_cap_pgm_dtl_hstry,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_cap_pgm_dtl_hstry,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_cap_pgm_dtl_hstry,mdcd_pendg_prvdr_cap_pgm_dtl_id,mdcd_pendg_prvdr_cap_pgm_dtl,mdcd_pendg_prvdr_cap_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_cap_pgm_dtl_hstry,mdcd_prvdr_cap_pgm_dtl_id,mdcd_prvdr_cap_pgm_dtl,mdcd_prvdr_cap_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_rstctn_pgm_dtl,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_rstctn_pgm_dtl,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_rstctn_pgm_dtl,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_rstctn_pgm_dtl,mdcd_prvdr_rstctn_pgm_dtl_id,mdcd_prvdr_rstctn_pgm_dtl,mdcd_prvdr_rstctn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_rstctn_pgm_dtl_hstry,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_rstctn_pgm_dtl_hstry,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_rstctn_pgm_dtl_hstry,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_rstctn_pgm_dtl_hstry,mdcd_pendg_prvdr_rstctn_pgm_dtl_id,mdcd_pendg_prvdr_rstctn_pgm_dtl,mdcd_pendg_prvdr_rstctn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_prvdr_rstctn_pgm_dtl_hstry,mdcd_prvdr_rstctn_pgm_dtl_id,mdcd_prvdr_rstctn_pgm_dtl,mdcd_prvdr_rstctn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_pstprtm_extnsn_pgm_dtl,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_pstprtm_extnsn_pgm_dtl,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_pstprtm_extnsn_pgm_dtl,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_pstprtm_extnsn_pgm_dtl,mdcd_pstprtm_extnsn_pgm_dtl_id,mdcd_pstprtm_extnsn_pgm_dtl,mdcd_pstprtm_extnsn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_pstprtm_extnsn_pgm_dtl_hstry,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_pstprtm_extnsn_pgm_dtl_hstry,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_pstprtm_extnsn_pgm_dtl_hstry,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_pstprtm_extnsn_pgm_dtl_hstry,mdcd_pendg_pstprtm_extnsn_pgm_dtl_id,mdcd_pendg_pstprtm_extnsn_pgm_dtl,mdcd_pendg_pstprtm_extnsn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_pstprtm_extnsn_pgm_dtl_hstry,mdcd_pstprtm_extnsn_pgm_dtl_id,mdcd_pstprtm_extnsn_pgm_dtl,mdcd_pstprtm_extnsn_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_reentry_pgm_dtl,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_reentry_pgm_dtl,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_reentry_pgm_dtl,mdcd_pendg_pgm_id,mdcd_pendg_pgm,mdcd_pendg_pgm_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_reentry_pgm_dtl,mdcd_reentry_pgm_dtl_id,mdcd_reentry_pgm_dtl,mdcd_reentry_pgm_dtl_id,HIGH,,sql,sql_only
mysql_raw.mdcd_pendg_reentry_pgm_dtl_hstry,chg_type_cd,,id,LOW,,sql,sql_only
mysql_raw.mdcd_pendg_reentry_pgm_dtl_hstry,mdcd_pendg_demo_id,mdcd_pendg_demo,mdcd_pendg_demo_id,HIGH,,sql,sql_only
