document_id,legacy_id,deliverable_id,file_type_cd,origin_cd,document_type_id,reason
ee44ec86-d615-459d-ba0e-e2d0a774ed16,5751,483d2e0f-bf29-4e93-8fe8-be3575e87226,,S,General File,parent deliverable not loaded
d1d4c6be-3591-47c1-bc20-64ec616c49df,6104,d8944479-177e-42f0-a8f5-748f58ea0722,7,S,Monitoring Protocol,parent deliverable not loaded; no application row for the resolved application_id
3b582708-1f18-4c4e-8eb5-41d7d2036ef3,6106,d8944479-177e-42f0-a8f5-748f58ea0722,9,S,Monitoring Protocol,parent deliverable not loaded; no application row for the resolved application_id
9dcf0bd4-2764-4991-94c3-bbe23333177b,6107,67c6b8a1-f144-4065-b082-a5b5cc440aeb,2,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
5ec438cf-c6d8-4069-a0dd-b91899bde27e,6108,67c6b8a1-f144-4065-b082-a5b5cc440aeb,3,S,Monitoring Report,parent deliverable not loaded; no application row for the resolved application_id
3c66df0e-9dd9-4b20-a8b7-bd7356edfca6,6176,473ecb4d-6b88-4c9c-ad55-87768cba2a75,,S,General File,parent deliverable not loaded; no application row for the resolved application_id
b09281bf-a97e-4278-8f04-43e5d016161d,6307,9ebbda3f-b125-4d48-9d9d-6ecd5e4a9cf6,,S,General File,parent deliverable not loaded; no application row for the resolved application_id
71166bcf-5628-476d-abb4-cf003c919df4,6389,42e4bf57-3403-48c4-b647-fbd127eb5142,,S,General File,parent deliverable not loaded; no application row for the resolved application_id
f7524e76-3e89-4701-9422-0abb8867ef35,6459,152fa308-b315-4df3-975a-3f0c7567fa2b,9,S,Monitoring Protocol,parent deliverable not loaded; no application row for the resolved application_id
e6225304-0006-40db-ad4f-7fd7703632e5,6460,44b4ef61-c838-432a-9887-1bc64ab162fe,,S,General File,parent deliverable not loaded; no application row for the resolved application_id
77f5a59c-76d2-42bc-bf77-e97b065a066e,6462,4abdbb5f-e6b7-4ec3-8f7f-468f4c5faa70,,S,General File,parent deliverable not loaded; no application row for the resolved application_id
72e9b00f-ee06-41ca-bc64-4b1466ce4d33,6464,152fa308-b315-4df3-975a-3f0c7567fa2b,7,S,Monitoring Protocol,parent deliverable not loaded; no application row for the resolved application_id
10ac9088-bc2a-4a8a-a358-5d63f5386393,6472,629f0c42-2150-4e7b-9497-bc70a3da095d,7,S,Monitoring Protocol,parent deliverable not loaded; no application row for the resolved application_id
4ddd0664-d178-4704-979b-0093cb32ace9,6473,629f0c42-2150-4e7b-9497-bc70a3da095d,9,S,Monitoring Protocol,parent deliverable not loaded; no application row for the resolved application_id
