deliverable_id,legacy_id,demonstration_id,status_cd,reason
5c5ca7b3-b418-4d13-9431-7edf45bc7247,8746,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
52193c6d-5b13-44fc-a0c6-e306dda5640e,8747,f9e8377b-9e06-42c3-bcd5-1d7d827be94a,5,parent demonstration not loaded as Approved
10befdcc-a179-4591-af50-ce874fab0784,8920,363d34f5-1b0a-4734-bc8d-fad833a5ad45,6,parent demonstration not loaded as Approved
86e72d97-10e0-4c47-b5c4-05c4d180988a,10269,7c9256d8-ff1b-4208-a542-9c2485ea95d7,6,parent demonstration not loaded as Approved
203693a6-1497-4fff-bb3f-efeff17f692a,11669,9af9da7a-22c7-483a-a78f-b785ea1841a2,15,unresolvable due_date
ffb1ed80-a1c3-4a55-9e8e-f17882fe85cc,12515,cd8d6037-25d7-40a0-879c-b8d85f443f35,3,parent demonstration not loaded as Approved
726e9209-39d9-4c88-a350-33dc37032c25,12517,cd8d6037-25d7-40a0-879c-b8d85f443f35,6,parent demonstration not loaded as Approved
18426941-9644-4120-816e-a2564e77c5d0,12532,cd8d6037-25d7-40a0-879c-b8d85f443f35,3,parent demonstration not loaded as Approved
4aaf944e-eaa4-4c5b-aae4-14b8d609a56e,12533,cd8d6037-25d7-40a0-879c-b8d85f443f35,3,parent demonstration not loaded as Approved
c881bea5-59ef-4cc5-8a39-16f41e678531,12534,cd8d6037-25d7-40a0-879c-b8d85f443f35,3,parent demonstration not loaded as Approved
