amendment_uuid,demo_uuid,name,status_cd
713bada4-df31-4258-9b20-9dadac43c1cc,0b11ca84-a492-41e1-9fb1-7c988da310ba,Enrollment of Pregnant Women with Income between 134% & 185% FPL and AI/AN Members with IHS Creditable Coverage,
7381c72c-ddc3-406e-82af-988a5972a2c9,31afe2bf-4951-4d57-99ba-6394eb5711ba,HSA Amendment,
77487dfc-4eaa-4b0d-97fc-91b3614a9542,e14e3eb8-f350-403c-bee3-21868690dfe4,Health-Related Social Needs,
79b7bb6e-2230-4d76-a4fc-b498031190a3,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,COVID-19 Amendment,
79d28d84-31cd-4e95-9e98-92fb3e480065,43f0f178-3151-4e8f-9836-5c92522c971f,Iowa Health and Wellness Plan  Work Requirements,
7c356590-c4df-4f86-a44e-ab562321ee09,7113f4e2-9519-404d-bd73-191cffcaaeb7,Wyoming Pregnant By Choice STI Amendment,
7c43bc46-6034-4df6-a40f-d8bba45e320a,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,COVID-19 Amendment,
7ee95840-8e0a-4dde-8636-ca10711f046e,0181f074-ee92-420b-822d-aedfadcd4c7d,Former Foster Care Youth Amendment,
7f405a54-2777-4fa1-85c0-8dbaa1c7d361,fc8af835-194a-4fdb-a3db-750a7af79998,WV managed care risk mitigation COVID-19 PHE amendment,
805e0f96-ad57-490a-b16b-76811f9d3cbe,76f5cfc6-aae5-470d-bdd3-9492644e3dbd,Georgia Planning for Healthy Babies STI Amendment,
812eee93-224e-45d1-8b44-b5f112330a1c,f723aea0-4ef8-4a60-b98e-0393f346cfbd,CPW Case Management,
8263c0a9-0ff4-42af-a9be-bbc9eac3c117,51573012-04dc-491f-b41a-0bb4b24efec9,Duals Demo and Cost Sharing Assistance Expansion,
85091d55-a133-4bef-af0a-f8c0ec9f7a55,0181f074-ee92-420b-822d-aedfadcd4c7d,Traditional Healing Amendment,
86761e5d-41eb-44ed-8f8b-2ce49781c2be,0181f074-ee92-420b-822d-aedfadcd4c7d,Community Engagement and Lifetime Limits/Cost Sharing,
86ae7990-339a-4643-a194-dd0455c29760,7247c6cc-a4f8-422b-a0d4-eb7023de52c4,Delaware Diamond State Health Plan Amendment Continuous Coverage for Individuals Aging Out of CHIP,
86df92e1-e4ed-47f1-9bdf-56f216818bba,6e11e177-b4ea-45fe-8c56-0af3e9e2e1e6,Managed Care Risk Mitigation COVID-19 PHE amendment,
89897d99-9c7e-4475-9815-3e71708dd352,674aac2b-0390-4171-8c9d-4c1c3c03a8e6,Transitional Rent-Community Support,
8cbe1c30-8b78-4c66-8b4d-1dc6aa90b759,b948eef7-7d1c-44a1-bce9-264e1bd1adbd,Expansion of Behavioral Health and Supportive Housing Assistance Pilot,
8dd91d38-fbd3-4d49-8735-c3aa42dc6a73,b948eef7-7d1c-44a1-bce9-264e1bd1adbd,Florida Managed Medical Assistance (MMA) Amendment,
8e1176a4-6d9e-4258-b058-855ee4b31b9d,8cb9aba6-e34e-451a-81b5-49212188a3a5,"Expanding access, HRSN, and payment reform",
8f1f11a7-8398-47e4-8891-9b03b1a8560d,51573012-04dc-491f-b41a-0bb4b24efec9,Duals Demo,
