comment_id,legacy_id,deliverable_id,source,origin_cd,reason
615f493a-9a8e-42ec-a76a-2f2e4af99fb4,127,b213e0ba-78ec-420b-b520-686e92ee72d9,dlvrbl,C,parent deliverable not loaded
955c39e6-6d70-44d0-b958-d1e819c2c950,128,d680a254-9a2b-4a2d-a226-752f5a86eb6a,dlvrbl,C,parent deliverable not loaded
0947939a-7ba6-4863-b608-b80bfebb00a2,135,4da2cbd8-e8df-47f7-846d-e4dd28819cb3,dlvrbl,C,parent deliverable not loaded
a5e58542-96bd-4f12-ac0c-b555303a2e61,137,b98f4590-4234-4e8e-be7c-0847190619a4,dlvrbl,C,parent deliverable not loaded
46eec2cb-2da6-4e16-8a0e-2147142b33d3,139,0ca888ba-d700-40e6-852b-873bfb7570ba,dlvrbl,C,parent deliverable not loaded
0d9722ea-7870-4abc-a883-d66fcd814ab0,141,bd2bee55-e0db-463a-8181-dbff65340e3b,dlvrbl,C,parent deliverable not loaded
e6032b39-c9da-48b7-8948-b6e44fc17319,143,9ff3c5a0-961a-4fd6-bd59-dbc328cc9100,dlvrbl,C,parent deliverable not loaded
316ff34e-c898-48b8-adf0-1121d25b77c1,145,2196f0ed-843f-4d7b-8fc3-85d303505911,dlvrbl,C,parent deliverable not loaded
6320d044-9b70-47c1-8191-3ee74a8d7407,149,5857e58b-4e9e-43aa-914d-92f58ce0c66c,dlvrbl,C,parent deliverable not loaded
94662a38-5b26-4f27-a3e6-616d0f629442,151,7458b436-dcf6-42c6-85d8-abb0e724f79a,dlvrbl,C,parent deliverable not loaded
08d41b53-304a-48d4-92f8-5e24d8451d36,153,63ca9cab-1e99-41d5-9781-5941fdc13be7,dlvrbl,C,parent deliverable not loaded
e304ce40-0b56-4126-a157-cd30c177329b,155,0974aba1-e945-4eb0-87e9-014d6ef02b3a,dlvrbl,C,parent deliverable not loaded
a39f3a34-02a5-4191-ab92-1f213ffd466c,158,25efbb33-04ae-4116-9a45-b7aaed27cf41,dlvrbl,C,parent deliverable not loaded
7612a4e9-581e-492b-99ce-03f6d2851c1f,160,356bb217-cc8c-4cbc-bfe3-77eb6f43c0b1,dlvrbl,C,parent deliverable not loaded
dccbfe78-712a-4442-bfb5-b2688d3425b6,162,05af756d-9d4c-4267-968f-e8a7ff4b0283,dlvrbl,C,parent deliverable not loaded
97e1f3f5-123a-4036-aaa7-8e726c705378,164,affdddd4-50d8-42ea-9398-a7fbaa170e8e,dlvrbl,C,parent deliverable not loaded
2d15554f-34bf-4e0a-998e-c5997e1943e5,167,791d45dd-5bfd-4a0d-9d73-8a5a677edf2b,dlvrbl,C,parent deliverable not loaded
65ac94ba-d085-4c97-9dc4-99978765b862,169,fd6499ac-40a3-474d-824f-b9f98ed3f3ba,dlvrbl,C,parent deliverable not loaded
f020ec2c-ea9d-47be-9fa0-f882beb25f29,171,6dc7700d-9356-41fb-87c5-7c92a80cdf6d,dlvrbl,C,parent deliverable not loaded
44751694-fa66-4e1b-972e-2d9795e8a31a,173,4277c116-03cf-4c38-8b1d-b0de06dce86c,dlvrbl,C,parent deliverable not loaded
53eecb70-cf17-46e1-8e21-80c6134a5271,175,0139f3c0-e7e6-43b5-a722-7fb6bcf2f5f1,dlvrbl,C,parent deliverable not loaded
1d12f3ba-d793-4909-a042-9a51fba55613,176,7496a120-68e4-46e8-bbd7-257712eca551,dlvrbl,C,parent deliverable not loaded
029f9704-2793-49c6-b5c8-c5d446f218bf,186,ff7584f4-9115-491d-8aad-89672436afcc,dlvrbl,C,parent deliverable not loaded
64347516-125f-4628-9d8a-4f51b0425341,187,8b9123b7-6bad-4856-bd0f-a739fd975db5,dlvrbl,C,parent deliverable not loaded
9dd937ee-b06a-410d-90b3-506eb84e9f73,188,8b2eea92-1090-4a3d-bf94-107b0aeaba81,dlvrbl,C,parent deliverable not loaded
e468dfa1-aa0a-4d52-b18e-5f41599cbc75,189,fb821fdb-6288-41a9-842b-36e180cd130e,dlvrbl,C,parent deliverable not loaded
4504365b-f9b0-4df0-8a2d-a4e46c25d798,190,0a80fc0d-9e04-4bb2-a4d0-f34e09d16659,dlvrbl,C,parent deliverable not loaded
30217e57-1026-4e0d-bbc4-6646c6295dd8,191,15a903fe-c70f-46ba-a46b-78ebd70006dc,dlvrbl,C,parent deliverable not loaded
fdf05344-62df-49d3-ac8f-2d27d3e164aa,192,e165e388-0e19-49ca-b98f-b77dc190acc5,dlvrbl,C,parent deliverable not loaded
aec100d3-b682-4db0-849c-bd8e8dbacd94,193,b18026e6-a9a3-4fee-8cbf-c78799a0ba6b,dlvrbl,C,parent deliverable not loaded
3a01f634-0c26-42d5-9112-e6aa60bf3774,194,74246034-d957-4e0f-9359-03c788349c12,dlvrbl,C,parent deliverable not loaded
5367f1bd-3c9a-4610-b6d3-449e830ad601,195,a47122a0-80cc-4a89-86d1-a47f4d3a5ddb,dlvrbl,C,parent deliverable not loaded
d6a78736-0c26-4f53-958b-32b9781798f4,196,143e4b9f-830b-4346-aec3-ce2053c266a6,dlvrbl,C,parent deliverable not loaded
627b2b4f-d043-4617-9071-b872c9929054,198,89f6d2c4-3bd0-401f-b8e8-aee3cad42764,dlvrbl,C,parent deliverable not loaded
f9c47bce-bfd8-444d-b687-5a3c1d33e0ab,199,85071971-15c7-4dcd-8b8c-62bbd189bd4e,dlvrbl,C,parent deliverable not loaded
839cbb7f-a956-4ff0-a28d-c5e7207668e9,200,8629d29e-3be4-402b-afa3-2985689cd08d,dlvrbl,C,parent deliverable not loaded
a78ad17c-6bfd-45a3-8c69-6b1c1d347e7e,201,abf397df-6e25-4749-8b0f-4843b3f5030d,dlvrbl,C,parent deliverable not loaded
eccf5375-ba2e-4708-b506-046001563189,202,1060baf8-fb97-4143-ae9a-fe856aad45c9,dlvrbl,C,parent deliverable not loaded
8546dde9-f7ce-4859-bf38-399ec7c10957,203,0a56cf3b-de42-44ce-bc6a-3b37aca01f35,dlvrbl,C,parent deliverable not loaded
480ea191-4fd0-4c73-b9b1-dfa3363f8ac5,204,1d5f212e-d0c0-4155-8a6a-bb4324abaa08,dlvrbl,C,parent deliverable not loaded
d7e30dec-9a42-4907-a484-6b1d9fd8d187,220,0f13034f-d1b6-4857-aa7c-943d60daa42b,dlvrbl,C,parent deliverable not loaded
7be60a52-bc79-49f3-8ce0-d97137163c68,221,69376932-9776-47ad-b20d-1167ef9811b3,dlvrbl,C,parent deliverable not loaded
f6e2fe85-7b65-465a-bb6b-090fc4b899c8,234,977752f5-0a49-4c21-bcb5-f1123f96f2aa,dlvrbl,C,parent deliverable not loaded
ddbf7e6e-b41d-456d-820e-a37bb51c6051,238,6dcd9eb0-ec76-40f3-ab31-bfc4dbf3b12d,dlvrbl,C,parent deliverable not loaded
ba4cbe9e-6162-452f-9914-e68984ef5e32,239,e48fd7dd-6c04-4fbc-911f-5f4d2465aa4b,dlvrbl,C,parent deliverable not loaded
def19d64-97e3-4a09-85d3-1f23ef808f7d,240,26ca4220-bb6f-451c-aeeb-361466ce90ee,dlvrbl,C,parent deliverable not loaded
b238392e-2652-4e67-b9af-2460f49c3961,241,ba8f680d-b172-44d3-abee-dc8d4dcd2fb6,dlvrbl,C,parent deliverable not loaded
a6ba5b60-5337-4f99-bd23-7e379a4ceb1c,242,0642f82d-8ae1-48e0-8e60-892bcb096a4d,dlvrbl,C,parent deliverable not loaded
f788e075-f221-4794-9c6e-e7ec405ef5cc,243,4560dd6e-8263-4285-ab98-8d09482b72ad,dlvrbl,C,parent deliverable not loaded
8ae2732c-a245-40c1-ba77-5410e6564df1,244,f5351197-7789-4d9e-9b79-a19c84c855f7,dlvrbl,C,parent deliverable not loaded
27061a9c-a1c3-4f7b-a77c-4131a5869fe4,245,e9ab9727-c175-49d1-bbb0-0b66935ff8c4,dlvrbl,C,parent deliverable not loaded
0cce73a5-16cd-4f53-a2ae-0208264195c1,246,b0e465f4-4526-494f-b3e2-adf0eee106eb,dlvrbl,C,parent deliverable not loaded
2a78a49c-b535-4316-97f5-7293c2f5b48a,247,f912ccf3-b5fc-4401-ad84-a0c648124c10,dlvrbl,C,parent deliverable not loaded
36fec7d8-ca2a-4ae3-b7cf-0ea25761614c,248,cbf31d6c-04ed-4518-a078-7bc953078e14,dlvrbl,C,parent deliverable not loaded
16173890-e5d1-436d-9f12-f35272ceb5e5,249,d28b19eb-bdad-4d00-a097-781a24021bd0,dlvrbl,C,parent deliverable not loaded
1a8cd828-275e-4a3e-897b-a1ebcd6f3c5a,250,96289d3e-6455-466e-9219-8bf06f01d257,dlvrbl,C,parent deliverable not loaded
eb677836-af9a-4e90-8ecd-acdd921f73d2,251,dbf77a3b-2173-4903-916d-745cbe65bc69,dlvrbl,C,parent deliverable not loaded
dc393a65-f886-4877-857c-dcf31d0d9082,252,352faad2-8353-4621-9891-fd6a0e073cef,dlvrbl,C,parent deliverable not loaded
bcaa5889-ac2a-4506-aded-5d8e72c42692,253,e46ef221-8123-432b-b682-2b73695c57e5,dlvrbl,C,parent deliverable not loaded
ae3713c9-a65d-4d1e-bac7-dcbbd2bf5336,254,4b746661-3e12-47a0-b437-412ca0542526,dlvrbl,C,parent deliverable not loaded
70c26a05-fda7-42bb-b43b-b6b948e2145c,255,5fc26ef3-8cdd-4d2d-b77b-bd030373d9c0,dlvrbl,C,parent deliverable not loaded
29a2b7b5-acc0-449e-b657-1abd5aa57acd,256,8a2f92d9-5059-41ef-b05c-7575292f812d,dlvrbl,C,parent deliverable not loaded
ff100252-2ca2-4dbc-8c0c-6f56b5afa247,257,22423dbb-a4b7-43c1-9c2e-b4d51bf03656,dlvrbl,C,parent deliverable not loaded
65397131-5522-4bbd-a7f7-d1129b92d2e4,258,3ee1d4d6-0322-43cd-95e2-0933fae97ff4,dlvrbl,C,parent deliverable not loaded
f185ecb7-693b-4caa-8db5-ae253252eca2,259,41699357-0ebb-4299-9c1d-70f27a2cccc7,dlvrbl,C,parent deliverable not loaded
c39467ea-53b4-4ecf-90ec-1add95e0d2cb,260,7a7cc3e6-55b9-4d02-8a9f-85bc697fdcb7,dlvrbl,C,parent deliverable not loaded
65914c31-b1ef-4b66-bf91-a321209567e9,261,e875d91e-44e0-4d0f-a408-46be61c722af,dlvrbl,C,parent deliverable not loaded
1b792162-85ea-4741-8921-d2f118963d50,262,2c2373c9-8eb8-44d6-b7fb-5e6f0d7b6351,dlvrbl,C,parent deliverable not loaded
6015b167-1210-4737-b427-8793689c0d2c,264,e4f87d0b-c164-4db6-89a5-6a5c744eca2a,dlvrbl,C,parent deliverable not loaded
9039f4da-b72d-4798-b254-a7d064ae0ab2,271,57f5e6b9-6e38-477b-99e3-c75aaab383e3,dlvrbl,C,parent deliverable not loaded
f1f0405b-8711-43ec-9b18-78c7e8e485e4,272,784e4346-7457-4419-a15f-6f72b25c6f26,dlvrbl,C,parent deliverable not loaded
fc54a110-d272-412a-abd3-6bcb3e535060,273,83f7a399-b530-47e6-b601-7bfab2b1c4e6,dlvrbl,C,parent deliverable not loaded
ba1e2d9f-dbca-4b00-8a06-b376955f07e1,274,243df0f4-a70d-4bf9-88f7-205770a26bf0,dlvrbl,C,parent deliverable not loaded
49cce3d3-5a21-4b10-8914-30c605201170,289,2cb4f7ee-2240-4378-bca9-9b014eb6bed1,dlvrbl,C,parent deliverable not loaded
001e92ef-1ab2-4f88-a213-5dc746faa414,290,2ab67860-609f-475a-8594-dc58849432d9,dlvrbl,C,parent deliverable not loaded
6c80c49d-f856-42a9-91db-06ebeb41c5cf,291,3058f207-cb2e-4cdb-a1a0-30c8a8a7332e,dlvrbl,C,parent deliverable not loaded
68eb05ed-10d2-4ec2-a8b4-f48106f6a665,292,3aaaba6c-d07f-4289-abb2-4e15b77bf62e,dlvrbl,C,parent deliverable not loaded
4c55fb5d-8622-4c50-80ed-f22271b4ba6c,293,d584deae-b275-4081-98f4-76c4f3cc9b86,dlvrbl,C,parent deliverable not loaded
7b25869f-853d-4fa6-bed2-cb3dba1e1cb7,294,530b223e-6f0f-432e-94f5-438d6b1a130c,dlvrbl,C,parent deliverable not loaded
61e392ff-c759-4a88-ad7c-46c2a9559293,295,19345867-e999-404f-a651-76ee071229f4,dlvrbl,C,parent deliverable not loaded
9e7fd466-5e73-4213-9a04-e16d65536132,296,78108b41-e995-4024-bbbb-08296fb46d00,dlvrbl,C,parent deliverable not loaded
c8edef44-e0b5-4050-84c0-0e242892e234,297,7ee628cb-4e9f-4234-b09b-f5d1d0bf3265,dlvrbl,C,parent deliverable not loaded
99de7572-cd04-4972-b03a-e28eeb4262a7,301,bd4ae54b-84fc-40a5-850b-a110010baae0,dlvrbl,C,parent deliverable not loaded
43a5b915-8efc-45b6-88fd-b680c4bc306e,302,cddc4c69-1de7-44af-98b4-74f1b99a5b67,dlvrbl,C,parent deliverable not loaded
9006dbec-c1a2-4d23-89d3-f2beeb6a99c0,303,c36fe14e-20ff-46dd-8dca-181d49c27112,dlvrbl,C,parent deliverable not loaded
dd61de60-358c-40a2-b21d-663a6eb4deb7,304,dc9f2a6a-ffbe-4e6d-b66e-ae6afb1efc34,dlvrbl,C,parent deliverable not loaded
f6e64865-5118-4d40-ae20-52d1c3a8d275,306,19bc2685-dca2-4788-b1a7-45286d400a45,dlvrbl,C,parent deliverable not loaded
e266b9b7-1401-455f-abe9-95f0e11b7993,307,3e1ea8cb-e0dd-428b-8811-27984a167279,dlvrbl,C,parent deliverable not loaded
2a3d0c68-1792-4674-a4c2-b136a4db7e0d,308,4dc018a6-3ae7-4e4b-8449-51f055c8431a,dlvrbl,C,parent deliverable not loaded
bd4d3102-385e-4f6e-bfa1-90e17c40f8bf,309,011b5504-352b-42e0-92ad-1375031529a9,dlvrbl,C,parent deliverable not loaded
8fdab8bf-84e7-4d3c-a982-f7e4b86536b4,311,cd7a39ef-e406-4e2d-8adf-d21ca19c764d,dlvrbl,C,parent deliverable not loaded
98ba7eac-517c-44ca-8b3e-901876d2ecf3,317,f6280df3-37c0-480f-b2e4-453278d9a46e,dlvrbl,C,parent deliverable not loaded
8a6025af-4df9-43af-9a53-46d1e870809b,323,f69ab008-723f-494d-8e92-91e03f9b9bf1,dlvrbl,C,parent deliverable not loaded
17d3508c-b10d-49d9-a8e5-eb01f04a45c5,324,2c3ab6b2-75ac-4a5e-8837-e8b03a673348,dlvrbl,C,parent deliverable not loaded
34bd8457-5cba-4d6c-bc1b-5ced99f0ebd8,325,125aa7ab-cecb-4c4c-87bf-3f135b6d215a,dlvrbl,C,parent deliverable not loaded
ae051fcc-7817-4bd5-85d5-94ccc59101a5,330,2551622c-81e8-4b08-8e7d-c909cc5fcb6f,dlvrbl,C,parent deliverable not loaded
a6757b4a-1943-4680-b4c9-2a270f96fd4e,331,649a1cdf-123f-43c8-b761-1990c36855ae,dlvrbl,C,parent deliverable not loaded
e179d7a5-0980-419b-afeb-0d0585dc79cb,368,0257f894-d3df-41bb-8914-1973afe3b569,dlvrbl,C,parent deliverable not loaded
37d40fce-fd07-4afa-b586-fd15e3012355,372,1e124136-e0bb-42d3-a272-7713d4a53937,dlvrbl,C,parent deliverable not loaded
3e52778d-3525-47d0-b5b1-98695f650359,373,ccb9689d-bda1-4a2e-8c3d-5e5ef98940db,dlvrbl,C,parent deliverable not loaded
d1da29c2-5df1-4b53-a218-53aa57e4d308,378,0203ad37-f255-454d-94c6-1108f7a556a3,dlvrbl,C,parent deliverable not loaded
9a98c1f8-ae59-4f86-b5d5-f945cb7cf8f8,379,0af5fce9-5dba-4f69-9881-b84507b5c58d,dlvrbl,C,parent deliverable not loaded
e7dfa930-d743-4726-8b8c-6b82efbb4b76,380,c7df1b2a-f2e3-4ecd-9553-a4c7883f3206,dlvrbl,C,parent deliverable not loaded
0fa61a88-185a-48d4-80ce-b77d4fe54312,381,3a8aa282-1869-4e9e-8f66-82ba4c13177d,dlvrbl,C,parent deliverable not loaded
c02947dd-6c3d-4807-a982-185ef5e5844f,382,df1371b8-2122-4e08-870d-6000c1eea6d9,dlvrbl,C,parent deliverable not loaded
6536a0c4-791a-467a-aa23-bb2f16f6da50,385,cefe58fe-d5cd-4dc4-89ec-30e9f68c4c78,dlvrbl,C,parent deliverable not loaded
4b574f82-7e2b-4a2d-b756-60544e8aec3e,387,92ca657f-b205-4cc2-b838-ddb3c1bc8925,dlvrbl,C,parent deliverable not loaded
621d8f55-6855-469d-a9af-3f3aad1af15f,388,75a3a9e5-a83c-49a3-ab11-8ad5a6eacb97,dlvrbl,C,parent deliverable not loaded
f90138c8-e167-4537-8042-b0211d84085c,394,8b70c9fb-29b1-4b64-b719-52bbf21a3473,dlvrbl,C,parent deliverable not loaded
fe335fec-0180-43fc-bf66-d219bcf3f832,395,2190a6dc-b277-48c2-9115-1c3bef3e852c,dlvrbl,C,parent deliverable not loaded
87bca8a8-f1dc-4557-9489-6829ad321957,396,6bc0224e-87c0-4997-b505-b406a86ef9c8,dlvrbl,C,parent deliverable not loaded
5b01dbc7-1904-44e5-9808-a7fad9c551d4,402,557eb90d-bfae-4b65-b7ee-de5b13333e3a,dlvrbl,C,parent deliverable not loaded
295fcc24-2344-420b-861e-a33ad6ac6190,411,21f82655-f6de-43a8-884d-87cd8b922a39,dlvrbl,C,parent deliverable not loaded
cd9b49bc-85d2-4fba-b43f-92a5bbb2fe4a,412,247e80f4-4fd4-4990-bfca-2b94351efbcb,dlvrbl,C,parent deliverable not loaded
635c7251-2ac4-47cf-abff-450ab8e79a1a,422,9449f7ef-d200-498e-9568-b1bfe7258374,dlvrbl,C,parent deliverable not loaded
4673071d-3bba-45f4-8ac1-1bea440e7a3b,423,be39b8fd-5e55-499c-8d89-3d32f5bb631f,dlvrbl,C,parent deliverable not loaded
8f7d99c1-1f5a-4b06-a5e0-ab18f2d916d6,424,d15de451-6bd0-45ff-90be-8ded955b2398,dlvrbl,C,parent deliverable not loaded
2dbacf73-be46-4e9f-9e68-678874da7801,435,9910e718-f575-4d9e-9955-ff5c847809a1,dlvrbl,C,parent deliverable not loaded
baa7bb3e-607d-4317-a255-5d4b517dbb89,436,191d91ab-41ba-4c27-acb5-81f6840754c6,dlvrbl,C,parent deliverable not loaded
ac26f76e-9ef3-4db3-9631-33031e403dd7,441,a1ed01b7-e1fc-446f-9355-f705864b900d,dlvrbl,C,parent deliverable not loaded
ab3e9823-ba0a-4601-8b21-4973911f3fcb,445,1b0cb489-c6d8-4c22-b63b-1d98f26d5b0e,dlvrbl,C,parent deliverable not loaded
1d12cf0a-279e-4eba-a5e0-cbecc97b683d,446,85006da4-4dc2-44d2-b08e-b15b73a68b7a,dlvrbl,C,parent deliverable not loaded
65c6bf77-12e7-4505-8813-f90f28d18e8c,447,22fc4ce4-037b-4403-9dcc-bae618bfc183,dlvrbl,C,parent deliverable not loaded
d90786b7-203d-4645-b046-3a70d94db4d9,448,50a2c2cd-fa8a-4b0a-939d-3ef2331093e0,dlvrbl,C,parent deliverable not loaded
94450d32-bcbc-4ad5-aeef-de8dcd0d284b,450,22b174a9-ee30-43ad-a6ab-be22e14a9b4f,dlvrbl,C,parent deliverable not loaded
1081b6ff-d8ed-4d45-bbaf-640ee502abc5,459,e490832e-bbd1-438d-8a44-a660ad5148ec,dlvrbl,C,parent deliverable not loaded
23c560ae-4c41-4424-8e76-2b75d2404295,471,2d8aa88e-d369-4dd1-8bca-92f23ec342cf,dlvrbl,C,parent deliverable not loaded
16395d1f-2ccd-490a-b874-b672f1b7169b,472,7576ab12-c632-4b16-b9a4-ef9b0357d0d6,dlvrbl,C,parent deliverable not loaded
1b38ec9d-8fde-41bb-ac6e-eaa52de3ce37,534,9c28dd89-a436-4b18-914a-ab9d98a4d097,dlvrbl,S,parent deliverable not loaded
